date	concentracao
3/4/2015	29.12
3/5/2015	33.04
3/6/2015	31.77
3/7/2015	18.46
3/8/2015	14.64
3/9/2015	13.74
3/10/2015	19.4
3/11/2015	23.2
3/12/2015	24.72
3/13/2015	20.15
3/14/2015	17.48
3/15/2015	14.81
3/16/2015	17.03
3/17/2015	29.54
3/18/2015	7.16
3/19/2015	26.73
3/20/2015	19.33
3/21/2015	18.54
3/22/2015	14.36
3/23/2015	27.83
3/24/2015	8.5
3/26/2015	34.5
3/27/2015	21.69
3/28/2015	41.69
3/29/2015	22.22
3/30/2015	16.03
3/31/2015	26.25
4/1/2015	48.61
4/2/2015	30.16
4/3/2015	23.5
4/4/2015	20.15
4/5/2015	11.25
4/6/2015	16.14
4/7/2015	34.88
4/8/2015	32.04
4/9/2015	45.53
4/10/2015	49.31
4/11/2015	33.47
4/12/2015	43.79
4/13/2015	58.78
4/14/2015	36.77
4/15/2015	25.15
4/16/2015	31.68
4/18/2015	40.38
4/19/2015	20.09
4/20/2015	28.32
4/21/2015	18.56
4/22/2015	27.16
4/23/2015	26.23
4/24/2015	35.43
4/25/2015	49.83
4/26/2015	51.04
4/27/2015	45.12
4/28/2015	59.44
4/29/2015	58.5
4/30/2015	81.08
