Data	Concentracao	Precipitacao	Temperatura	Umidade	Velocidade_vento
11/3/2014	21.17	0.00	24.82	73.88	2.28
11/4/2014	14.79	0.00	22.62	86.71	2.91
11/5/2014	15.04	0.00	24.55	76.21	2.32
11/6/2014	19.33	0.00	25.45	65.79	2.62
11/7/2014	23.63	0.00	26.07	64.50	2.24
11/8/2014	18.29	0.00	23.10	78.21	2.00
11/9/2014	21.58	0.00	25.89	64.46	2.22
11/10/2014	25.96	0.00	25.27	52.42	2.55
11/11/2014	50.29	0.00	26.20	46.04	2.06
11/12/2014	63.75	0.00	24.67	61.96	1.65
11/13/2014	34.54	0.00	25.33	69.38	2.11
11/14/2014	23.96	0.00	23.57	69.83	3.26
11/15/2014	23.00	0.00	22.46	58.13	3.35
11/16/2014	21.58	0.00	22.81	53.50	2.98
11/17/2014	30.08	0.00	23.82	45.29	2.83
11/18/2014	35.54	0.00	23.80	54.83	2.57
11/19/2014	37.21	0.00	26.68	45.43	2.74
11/20/2014	42.21	0.00	26.20	52.63	2.05
11/21/2014	48.33	0.00	25.85	58.17	2.03
11/22/2014	35.38	0.00	24.10	68.63	2.09
11/23/2014	25.25	0.00	23.64	76.04	1.53
11/24/2014	19.75	0.00	24.86	72.96	1.85
11/25/2014	8.92	0.00	23.71	80.96	2.68
11/26/2014	11.21	0.00	22.95	88.39	2.47
11/27/2014	18.92	0.00	23.66	85.95	1.53
11/28/2014	24.75	0.00	24.33	72.79	2.20
11/29/2014	13.58	0.00	23.73	70.45	2.44
11/30/2014	6.83	0.00	21.94	90.06	2.19
12/1/2014	14.08	0.00	22.80	78.11	2.37
12/2/2014	12.00	0.00	21.97	73.13	3.10
12/3/2014	15.96	0.00	24.74	60.78	2.75
12/4/2014	19.50	0.00	25.28	66.54	2.53
12/5/2014	22.79	0.00	23.13	65.71	3.40
12/6/2014	19.88	0.00	23.39	66.71	2.40
12/7/2014	17.79	0.00	24.68	64.67	2.43
12/8/2014	16.71	0.00	23.80	70.50	2.25
12/9/2014	11.71	0.00	23.23	76.08	2.69
12/10/2014	12.29	0.00	22.06	86.20	2.46
12/11/2014	11.83	0.00	22.21	86.20	2.29
12/12/2014	12.33	0.00	22.92	82.67	2.84
12/13/2014	6.08	0.00	20.94	94.46	2.77
12/14/2014	9.38	0.00	23.65	84.61	1.97
12/15/2014	19.75	0.00	22.81	63.00	3.29
12/16/2014	23.67	0.00	24.88	59.91	2.55
12/17/2014	28.46	0.00	26.27	61.29	2.10
12/18/2014	37.21	0.00	28.05	57.42	1.84
12/19/2014	17.79	0.00	26.57	68.04	2.42
12/20/2014	19.25	0.00	25.08	73.29	2.85
12/21/2014	11.29	0.00	23.58	85.26	2.81
12/22/2014	12.50	0.00	24.32	84.75	3.01
12/23/2014	5.96	0.00	21.97	94.42	2.30
12/24/2014	8.00	0.00	23.87	76.00	1.99
12/25/2014	12.63	0.00	24.94	73.48	2.14
12/26/2014	15.88	0.00	28.28	53.95	1.68
12/27/2014	35.79	0.00	29.35	43.63	1.67
12/28/2014	19.25	0.00	29.54	47.29	2.10
12/29/2014	17.88	0.00	28.54	52.38	2.18
12/30/2014	14.71	0.00	25.97	65.25	2.41
12/31/2014	14.45	0.00	25.06	72.76	2.17
1/1/2015	15.83	0.00	27.66	66.25	2.20
1/2/2015	12.25	0.00	29.20	58.54	1.73
1/3/2015	13.58	0.00	28.34	60.08	2.35
1/4/2015	8.08	0.00	25.04	72.79	2.11
1/5/2015	14.38	0.00	24.84	71.71	2.63
1/6/2015	11.29	0.00	24.62	73.67	2.27
1/7/2015	21.00	0.00	25.93	67.00	1.96
1/8/2015	18.38	0.00	26.73	60.67	2.17
1/9/2015	24.83	0.00	28.27	56.71	1.63
1/10/2015	24.13	0.00	29.03	55.54	1.59
1/11/2015	23.33	0.00	28.73	59.58	2.08
1/12/2015	16.63	0.00	28.12	60.46	2.17
1/13/2015	22.58	0.00	29.55	45.79	1.96
1/14/2015	34.67	0.00	27.50	59.04	1.78
1/15/2015	34.63	0.00	28.82	56.67	1.54
1/16/2015	35.08	0.00	29.60	51.67	1.95
1/17/2015	39.04	0.00	30.70	41.13	1.61
1/18/2015	36.13	0.00	31.22	45.00	1.91
1/19/2015	53.38	0.00	31.49	42.88	2.16
1/20/2015	57.79	0.00	29.90	48.17	1.81
1/21/2015	25.46	0.00	27.88	54.83	2.70
1/22/2015	14.83	0.00	23.85	72.92	2.80
1/23/2015	14.25	0.00	23.45	74.46	1.85
1/24/2015	14.63	0.00	25.83	60.67	2.22
1/25/2015	10.33	0.00	25.31	65.08	3.31
1/26/2015	8.08	0.00	23.88	76.92	2.34
1/27/2015	11.67	0.00	24.12	76.17	1.66
1/28/2015	11.92	0.00	26.11	66.75	2.19
1/29/2015	9.63	0.00	25.43	71.33	1.51
1/30/2015	18.08	0.00	26.78	64.17	1.57
1/31/2015	16.88	0.00	26.88	65.83	2.49
2/1/2015	17.08	0.00	27.72	60.17	2.08
2/2/2015	19.63	0.00	26.01	69.00	1.85
2/3/2015	17.33	0.00	25.88	61.88	1.81
2/4/2015	12.96	0.00	23.79	73.33	2.06
2/5/2015	9.21	0.00	22.55	81.00	2.69
2/6/2015	10.46	0.00	22.35	81.46	1.94
2/7/2015	11.54	0.00	24.67	71.12	1.63
2/8/2015	10.21	0.00	24.78	69.50	2.13
2/9/2015	7.75	0.00	23.61	84.17	2.58
2/10/2015	10.83	0.00	23.14	86.72	2.41
2/11/2015	9.50	0.00	24.85	76.27	2.28
2/12/2015	14.17	0.00	26.54	71.88	1.55
2/13/2015	14.58	0.00	25.82	72.57	1.56
2/14/2015	14.63	0.00	27.74	61.33	1.75
2/15/2015	17.50	0.00	24.27	70.88	1.88
2/16/2015	12.13	0.00	23.43	78.75	1.60
2/17/2015	15.79	0.00	24.14	77.77	2.31
2/18/2015	6.08	0.00	22.00	88.70	2.90
2/19/2015	11.25	0.00	23.30	84.04	3.06
2/20/2015	12.33	0.00	24.18	77.21	2.87
2/21/2015	16.92	0.00	27.45	59.82	1.70
2/22/2015	25.00	0.00	28.42	53.05	2.09
2/23/2015	24.92	0.00	27.32	58.50	2.10
2/24/2015	19.50	0.00	27.13	54.63	2.43
2/25/2015	15.74	0.00	25.45	67.05	2.35
2/26/2015	8.92	0.00	25.11	71.79	1.85
2/27/2015	15.42	0.00	24.90	73.96	1.56
2/28/2015	12.25	0.00	24.91	67.33	2.84
3/1/2015	15.38	0.00	24.95	63.67	2.88
3/2/2015	23.04	0.00	25.52	61.71	2.50
3/3/2015	25.83	0.00	26.65	60.17	2.17
3/4/2015	28.71	0.00	26.05	66.58	2.09
3/5/2015	23.58	0.00	25.89	66.63	1.85
3/6/2015	19.25	0.00	24.23	76.75	1.92
3/7/2015	14.96	0.00	23.56	77.25	1.57
3/8/2015	10.88	0.00	22.79	83.96	1.59
3/9/2015	5.63	0.00	21.93	90.67	2.03
3/10/2015	10.88	0.00	22.71	87.14	2.58
3/11/2015	9.38	0.00	23.10	85.09	2.26
3/12/2015	13.63	0.00	22.77	86.96	1.91
