Data	Concentracao	Precipitacao	Velocidade_vento	Temperatura	Umidade
10/22/2001	19.24	25.10	2.23	18.78	86.00
10/25/2001	39.27	0.00	2.97	22.44	51.00
10/29/2001	42.16	0.00	1.43	23.44	50.00
11/1/2001	32.92	0.00	2.47	23.98	60.25
11/7/2001	41.85	0.00	2.63	24.00	59.00
11/8/2001	31.75	0.00	2.37	23.52	66.25
11/17/2001	19.41	0.00	3.43	22.48	82.75
11/21/2001	0.00	0.00	1.97	23.52	71.25
11/24/2001	21.55	41.80	1.60	23.76	72.00
11/26/2001	35.21	0.00	2.63	23.84	62.00
12/3/2001	28.56	0.00	2.67	21.06	58.00
12/7/2001	17.74	2.50	2.83	22.60	83.25
12/10/2001	21.32	5.40	2.33	22.08	78.00
12/12/2001	33.64	0.20	2.03	23.44	73.25
12/18/2001	37.12	0.00	2.80	22.96	81.75
12/20/2001	15.97	0.80	2.20	22.94	81.75
12/26/2001	13.63	0.00	2.83	22.14	68.75
1/3/2002	28.48	0.00	2.07	23.90	61.52
1/9/2002	25.45	59.70	2.63	21.56	74.75
1/11/2002	29.13	0.00	3.67	21.70	79.75
1/15/2002	20.01	9.70	2.77	21.68	85.50
1/19/2002	13.76	0.00	2.60	21.32	89.25
1/21/2002	26.42	13.50	2.13	23.24	76.50
1/23/2002	24.46	1.50	1.67	22.76	80.00
1/28/2002	16.53	5.80	2.23	22.72	87.25
1/31/2002	17.44	3.80	1.47	23.78	82.75
2/4/2002	26.22	0.00	3.20	21.28	59.00
2/6/2002	15.48	0.00	2.97	22.16	75.50
2/11/2002	19.03	51.50	2.23	23.16	77.75
2/14/2002	21.76	21.00	1.20	19.28	92.50
2/18/2002	26.82	0.00	3.03	22.04	71.25
2/25/2002	27.91	0.00	2.97	22.88	67.25
3/4/2002	22.88	1.50	2.10	23.16	71.75
3/8/2002	28.63	0.00	3.17	25.10	76.25
3/13/2002	22.73	0.00	3.40	24.94	62.00
3/17/2002	17.80	5.40	1.93	24.34	75.25
3/23/2002	9.62	0.00	2.40	22.04	79.00
3/25/2002	21.84	24.60	2.73	22.54	85.25
3/27/2002	17.85	0.00	1.50	22.34	88.75
4/1/2002	31.97	0.00	1.87	23.60	66.75
