Data	Concentra_up	Concentra_down
12/30/2015	44.13	44.13
12/31/2015	23.81	23.81
1/1/2016	21.88	21.88
1/2/2016	18.63	18.63
1/3/2016	13.96	13.96
1/4/2016	19.00	19.00
1/5/2016	26.04	26.04
1/6/2016	24.33	24.33
1/7/2016	28.46	28.46
1/8/2016	25.00	25.00
1/9/2016	19.13	19.13
1/10/2016	16.92	16.92
1/11/2016	12.79	12.79
1/12/2016	12.38	12.38
1/13/2016	17.67	17.67
1/14/2016	12.88	12.88
1/15/2016	11.21	11.21
1/16/2016	15.17	15.17
1/17/2016	19.46	19.46
1/18/2016	18.71	18.71
1/19/2016	22.08	22.08
1/20/2016	14.25	14.25
1/21/2016	18.13	18.13
1/22/2016	19.21	19.21
1/23/2016	19.29	19.29
1/24/2016	23.54	23.54
1/25/2016	29.83	29.83
1/26/2016	22.92	22.92
1/27/2016	23.67	23.67
1/28/2016	18.54	18.54
1/29/2016	17.92	17.92
1/30/2016	16.50	16.50
1/31/2016	24.50	24.50
2/1/2016	32.00	32.00
2/2/2016	28.25	28.25
2/3/2016	27.75	27.75
2/4/2016	24.38	24.38
2/5/2016	38.04	38.04
2/6/2016	19.88	19.88
2/7/2016	23.00	23.00
2/8/2016	16.17	16.17
2/9/2016	19.71	19.71
2/10/2016	27.29	27.29
2/11/2016	16.46	16.46
2/12/2016	22.17	22.17
2/13/2016	25.08	25.08
2/14/2016	26.17	26.17
2/15/2016	28.70	28.70
2/16/2016	17.33	17.33
2/17/2016	23.54	23.54
2/18/2016	21.00	21.00
2/19/2016	24.13	24.13
2/20/2016	15.83	15.83
2/21/2016	15.38	15.38
2/22/2016	18.75	18.75
2/23/2016	16.96	16.96
2/24/2016	20.38	20.38
2/25/2016	22.08	22.08
2/26/2016	17.75	17.75
2/27/2016	21.63	21.63
2/28/2016	17.50	17.50
2/29/2016	14.33	14.33
3/1/2016	18.29	18.29
3/2/2016	19.46	19.46
3/3/2016	21.50	21.50
3/4/2016	19.67	19.67
3/5/2016	26.79	26.79
3/6/2016	24.17	24.17
3/7/2016	23.25	23.25
3/8/2016	36.00	36.00
3/9/2016	26.21	26.21
3/10/2016	14.58	14.58
3/11/2016	24.13	24.13
3/12/2016	15.13	15.13
3/13/2016	14.83	14.83
3/14/2016	19.67	19.67
3/15/2016	24.14	24.14
3/16/2016	18.42	18.42
3/17/2016	23.54	23.54
3/18/2016	20.42	20.42
3/19/2016	19.13	19.13
3/20/2016	25.92	25.92
3/21/2016	37.88	37.88
3/22/2016	27.42	27.42
3/23/2016	18.38	18.38
3/24/2016	19.04	19.04
3/25/2016	20.75	20.75
3/26/2016	16.46	16.46
3/27/2016	23.33	23.33
3/28/2016	31.08	31.08
3/29/2016	24.54	24.54
3/30/2016	27.46	27.46
3/31/2016	25.21	25.21
4/1/2016	22.67	22.67
4/2/2016	27.67	27.67
4/3/2016	28.13	28.13
4/4/2016	20.63	20.63
4/5/2016	36.25	36.25
4/6/2016	49.29	49.29
4/7/2016	34.13	34.13
4/8/2016	32.79	32.79
4/9/2016	43.21	43.21
4/10/2016	32.42	32.42
4/11/2016	28.88	28.88
4/12/2016	30.33	30.33
4/13/2016	35.33	35.33
4/14/2016	37.75	37.75
4/15/2016	40.58	40.58
4/16/2016	39.17	39.17
4/17/2016	43.25	43.25
4/18/2016	38.71	38.71
4/19/2016	46.71	46.71
4/20/2016	41.92	41.92
4/21/2016	50.33	50.33
4/22/2016	40.96	40.96
4/23/2016	52.83	52.83
4/24/2016	54.38	54.38
4/25/2016	25.04	25.04
4/26/2016	13.63	13.63
4/27/2016	19.25	19.25
4/28/2016	18.83	18.83
4/29/2016	23.71	23.71
4/30/2016	17.58	17.58
5/1/2016	22.71	22.71
5/2/2016	31.08	31.08
5/3/2016	30.71	30.71
5/4/2016	27.25	27.25
5/5/2016	30.96	30.96
5/6/2016	36.67	36.67
5/7/2016	25.21	25.21
5/8/2016	30.29	30.29
5/9/2016	19.75	19.75
5/10/2016	20.75	20.75
5/11/2016	13.58	13.58
5/12/2016	12.88	12.88
5/13/2016	16.79	16.79
5/14/2016	31.42	31.42
5/15/2016	28.29	28.29
5/16/2016	29.63	29.63
5/17/2016	22.27	22.27
5/18/2016	9.68	9.68
5/19/2016	26.54	26.54
5/20/2016	17.17	17.17
5/21/2016	20.50	20.50
5/22/2016	13.67	13.67
5/23/2016	14.33	14.33
5/24/2016	19.29	19.29
5/25/2016	26.75	26.75
5/26/2016	24.42	24.42
5/27/2016	15.21	15.21
5/28/2016	23.25	23.25
5/29/2016	19.75	19.75
5/30/2016	18.63	18.63
5/31/2016	21.67	21.67
6/1/2016	19.25	19.25
6/2/2016	12.33	12.33
6/3/2016	15.08	15.08
